table,year,class,measure,type,estimate
101,2015,W1,1,1,350
101,2015,W2,1,1,285
101,2015,W3,1,1,70
101,2015,W4,1,1,7
101,2015,W5,1,1,264
101,2015,W6,1,1,13
101,2015,W7,1,1,29
101,2015,W8,1,1,12
101,2015,W9_1,1,1,13
101,2015,W9_21,1,1,517
101,2015,W9_22,1,1,498
101,2015,W9_23,1,1,50
101,2015,W9,1,1,150
101,2015,W10,1,1,55
101,2015,W11,1,1,25
101,2015,W12,1,1,20
101,2015,W13,1,1,14
101,2015,W14,1,1,49
101,2015,W15,1,1,400
101,2015,W16,1,1,172
101,2015,W17,1,1,167
101,2015,W18,1,1,2
101,2015,W19,1,1,17
101,2015,W20,1,1,4
101,2015,W21,1,1,51
101,2015,W22,1,1,289
101,2015,W1T,1,1,370
101,2015,W2T,1,1,327
101,2015,W16T,1,1,175
101,2015,W17T,1,1,180
101,2015,W1,1,2,2.8
101,2015,W2,1,2,9
101,2015,W3,1,2,5.5
101,2015,W4,1,2,18.6
101,2015,W5,1,2,6.3
101,2015,W6,1,2,16.2
101,2015,W7,1,2,59.2
101,2015,W8,1,2,35.6
101,2015,W9_1,1,2,24.9
101,2015,W9_21,1,2,11
101,2015,W9_22,1,2,28.9
101,2015,W9_23,1,2,27.5
101,2015,W9,1,2,27.7
101,2015,W10,1,2,31.8
101,2015,W11,1,2,23.5
101,2015,W12,1,2,6
101,2015,W13,1,2,25
101,2015,W14,1,2,8.1
101,2015,W15,1,2,4.6
101,2015,W16,1,2,5
101,2015,W17,1,2,12.9
101,2015,W18,1,2,12.4
101,2015,W19,1,2,9.7
101,2015,W20,1,2,7.7
101,2015,W21,1,2,14.4
101,2015,W22,1,2,6.4
101,2015,W1T,1,2,3.3
101,2015,W2T,1,2,9.3
101,2015,W16T,1,2,5.1
101,2015,W17T,1,2,13.3
101,2015,W1,2,1,420
101,2015,W2,2,1,421
101,2015,W3,2,1,87
101,2015,W4,2,1,22
101,2015,W5,2,1,368
101,2015,W6,2,1,77
101,2015,W7,2,1,163
101,2015,W8,2,1,293
101,2015,W9_1,2,1,144
101,2015,W9_21,2,1,789
101,2015,W9_22,2,1,1819
101,2015,W9_23,2,1,551
101,2015,W9,2,1,808
101,2015,W10,2,1,132
101,2015,W11,2,1,61
101,2015,W12,2,1,52
101,2015,W13,2,1,87
101,2015,W14,2,1,394
101,2015,W15,2,1,722
101,2015,W16,2,1,197
101,2015,W17,2,1,255
101,2015,W18,2,1,5
101,2015,W19,2,1,25
101,2015,W20,2,1,13
101,2015,W21,2,1,135
101,2015,W22,2,1,631
101,2015,W1T,2,1,462
101,2015,W2T,2,1,531
101,2015,W16T,2,1,213
101,2015,W17T,2,1,280
101,2015,W1,2,2,3.7
101,2015,W2,2,2,13.7
101,2015,W3,2,2,3.4
101,2015,W4,2,2,16.1
101,2015,W5,2,2,4.5
101,2015,W6,2,2,12.9
101,2015,W7,2,2,39.9
101,2015,W8,2,2,35.3
101,2015,W9_1,2,2,51.2
101,2015,W9_21,2,2,14
101,2015,W9_22,2,2,38.4
101,2015,W9_23,2,2,40.9
101,2015,W9,2,2,19
101,2015,W10,2,2,28.1
101,2015,W11,2,2,29.1
101,2015,W12,2,2,7.4
101,2015,W13,2,2,33.9
101,2015,W14,2,2,13.9
101,2015,W15,2,2,7
101,2015,W16,2,2,5.3
101,2015,W17,2,2,13.3
101,2015,W18,2,2,29.7
101,2015,W19,2,2,12.6
101,2015,W20,2,2,23.8
101,2015,W21,2,2,6.2
101,2015,W22,2,2,7.9
101,2015,W1T,2,2,5.1
101,2015,W2T,2,2,14.2
101,2015,W16T,2,2,9.9
101,2015,W17T,2,2,15.5
